"","Country","15-19","20-24","Diff"
"1","Albania",3.4,11.8,-8.4
"2","Armenia",2.4,5.3,-2.9
"3","Austria",1.9,NA,NA
"4","Azerbaijan",4.55,11,-6.45
"5","Belgium",1.65,0,1.65
"6","Bosnia and Herzegovina",5.1,3.5,1.6
"7","Bulgaria",1,NA,NA
"8","Croatia",1.2,NA,NA
"9","Cyprus",2.05,NA,NA
"10","Czechia",0.1,NA,NA
"11","Denmark",0.05,0.7,-0.65
"12","Estonia",0.2,NA,NA
"13","Finland",0.2,0.1,0.1
"14","France",1.8,NA,NA
"15","Georgia",5.65,13.9,-8.25
"16","Germany",0.15,NA,NA
"17","Greece",1.25,NA,NA
"18","Hungary",0.45,NA,NA
"19","Iceland",0.1,NA,NA
"20","Ireland",0.25,NA,NA
"21","Italy",0.1,NA,NA
"22","Kazakhstan",3.45,7,-3.55
"23","Kyrgyzstan",4.85,12.9,-8.05
"24","Latvia",0.35,NA,NA
"25","Lithuania",0.35,0.4,-0.05
"26","Luxembourg",0.25,NA,NA
"27","Malta",0.3,NA,NA
"28","Montenegro",0.55,5.8,-5.25
"29","Netherlands (Kingdom of the)",0.05,NA,NA
"30","North Macedonia",5.6,7.5,-1.9
"31","Norway",0.05,0,0.05
"32","Poland",0.7,NA,NA
"33","Portugal",0.45,NA,NA
"34","Republic of Moldova",4.25,12.2,-7.95
"35","Romania",4,NA,NA
"36","Serbia",2.3,5.5,-3.2
"37","Slovakia",0.7,NA,NA
"38","Slovenia",0.1,NA,NA
"39","Spain",3.35,NA,NA
"40","Sweden",0.15,NA,NA
"41","Switzerland",0.15,NA,NA
"42","Tajikistan",7.4,8.7,-1.3
"43","Turkmenistan",4.8,6.1,-1.3
"44","TÃ¼rkiye",2.65,14.7,-12.05
"45","Ukraine",3.4,9.1,-5.7
"46","United Kingdom of Great Britain and Northern Ireland",2.1,0,2.1
"47","Uzbekistan",6.65,3.4,3.25
