"","Country","Mean"
"1","Tajikistan",7.4
"2","Uzbekistan",6.65
"3","Georgia",5.65
"4","North Macedonia",5.6
"5","Bosnia and Herzegovina",5.1
"6","Kyrgyzstan",4.85
"7","Turkmenistan",4.8
"8","Azerbaijan",4.55
"9","Republic of Moldova",4.25
"10","Romania",4
"11","Kazakhstan",3.45
"12","Albania",3.4
"13","Ukraine",3.4
"14","Spain",3.35
"15","TÃ¼rkiye",2.65
"16","Armenia",2.4
"17","Serbia",2.3
"18","United Kingdom of Great Britain and Northern Ireland",2.1
"19","Cyprus",2.05
"20","Austria",1.9
"21","France",1.8
"22","Belgium",1.65
"23","Greece",1.25
"24","Croatia",1.2
"25","Bulgaria",1
"26","Slovakia",0.7
"27","Poland",0.7
"28","Montenegro",0.55
"29","Hungary",0.45
"30","Portugal",0.45
"31","Latvia",0.35
"32","Lithuania",0.35
"33","Malta",0.3
"34","Ireland",0.25
"35","Luxembourg",0.25
"36","Estonia",0.2
"37","Finland",0.2
"38","Germany",0.15
"39","Sweden",0.15
"40","Switzerland",0.15
"41","Czechia",0.1
"42","Iceland",0.1
"43","Italy",0.1
"44","Slovenia",0.1
"45","Denmark",0.05
"46","Netherlands (Kingdom of the)",0.05
"47","Norway",0.05
