"","Country","Female","Male","Diff"
"1","Albania",9.25,0.1,9.15
"2","Armenia",5.05,0,5.05
"3","Austria",2.8,1,1.8
"4","Azerbaijan",9.9,0.3,9.6
"5","Belgium",1.1,1.1,0
"6","Bosnia and Herzegovina",6.85,0,6.85
"7","Bulgaria",1.8,0.2,1.6
"8","Croatia",2,0.4,1.6
"9","Cyprus",3.2,0.9,2.3
"10","Czechia",0.2,0,0.2
"11","Denmark",0.4,0,0.4
"12","Estonia",0.3,0.1,0.2
"13","Finland",0.2,0.1,0.1
"14","France",2.8,0.8,2
"15","Georgia",12.55,0.1,12.45
"16","Germany",0.3,0,0.3
"17","Greece",1.9,0.6,1.3
"18","Hungary",0.8,0.1,0.7
"19","Iceland",0.1,0.1,0
"20","Ireland",0.3,0.2,0.1
"21","Italy",0.2,0,0.2
"22","Kazakhstan",6.5,0.9,5.6
"23","Kyrgyzstan",11,0.6,10.4
"24","Latvia",0.6,0.1,0.5
"25","Lithuania",0.5,0.1,0.4
"26","Luxembourg",0.4,0.1,0.3
"27","Malta",0.5,0.1,0.4
"28","Montenegro",3.45,0,3.45
"29","Netherlands (Kingdom of the)",0.1,0,0.1
"30","North Macedonia",6.55,NA,NA
"31","Norway",0.05,0,0.05
"32","Poland",1.2,0.2,1
"33","Portugal",0.7,0.2,0.5
"34","Republic of Moldova",9.65,1.4,8.25
"35","Romania",6.8,1.2,5.6
"36","Serbia",4.65,0.8,3.85
"37","Slovakia",1.1,0.3,0.8
"38","Slovenia",0.2,0,0.2
"39","Spain",4,2.7,1.3
"40","Sweden",0.3,0,0.3
"41","Switzerland",0.3,0,0.3
"42","Tajikistan",10.65,2.2,8.45
"43","Turkmenistan",5.45,NA,NA
"44","TÃ¼rkiye",9.75,0.5,9.25
"45","Ukraine",7.8,0.3,7.5
"46","United Kingdom of Great Britain and Northern Ireland",1.5,1.2,0.3
"47","Uzbekistan",7.65,1.4,6.25
