"","Country","Value"
"1","Azerbaijan",76.8
"2","Republic of Moldova",75.6
"3","Kyrgyzstan",74.3
"4","North Macedonia",73.1
"5","Tajikistan",69
"6","Armenia",68.9
"7","Georgia",68.8
"8","Turkmenistan",68.6
"9","Montenegro",65.8
"10","Uzbekistan",62.2
"11","Ukraine",61.2
"12","Belarus",57
"13","TÃ¼rkiye",55.6
"14","Bosnia and Herzegovina",55.2
"15","Kazakhstan",52.7
"16","Albania",47.5
"17","Serbia",44.5
"18","Austria",NA
"19","Belgium",NA
"20","Bulgaria",NA
"21","Croatia",NA
"22","Cyprus",NA
"23","Czechia",NA
"24","Denmark",NA
"25","Estonia",NA
"26","Finland",NA
"27","France",NA
"28","Germany",NA
"29","Greece",NA
"30","Holy See",NA
"31","Hungary",NA
"32","Iceland",NA
"33","Ireland",NA
"34","Italy",NA
"35","Latvia",NA
"36","Liechtenstein",NA
"37","Lithuania",NA
"38","Luxembourg",NA
"39","Malta",NA
"40","Netherlands (Kingdom of the)",NA
"41","Norway",NA
"42","Poland",NA
"43","Portugal",NA
"44","Romania",NA
"45","Russian Federation",NA
"46","Slovakia",NA
"47","Slovenia",NA
"48","Spain",NA
"49","Sweden",NA
"50","Switzerland",NA
"51","United Kingdom",NA
