"","Country","AverageRate"
"1","Albania",7.978
"2","Armenia",0.953333333333333
"3","Austria",0.76125
"4","Azerbaijan",NA
"5","Belarus",2.47875
"6","Belgium",0.382857142857143
"7","Bosnia and Herzegovina",4.18266666666667
"8","Bulgaria",3.705625
"9","Croatia",1.88
"10","Cyprus",2.12
"11","Czechia",1.16428571428571
"12","Denmark",3.42375
"13","Estonia",3.1275
"14","Finland",1.57125
"15","France",2.72428571428571
"16","Georgia",3.2
"17","Germany",0.79625
"18","Greece",1.35928571428571
"19","Holy See",NA
"20","Hungary",5.224
"21","Iceland",6.11
"22","Ireland",1.40666666666667
"23","Italy",2.505
"24","Kazakhstan",0.4125
"25","Kyrgyzstan",0.29
"26","Latvia",1.33
"27","Liechtenstein",NA
"28","Lithuania",1.755
"29","Luxembourg",8.23
"30","Malta",NA
"31","Montenegro",4.7
"32","Netherlands (Kingdom of the)",4.84375
"33","North Macedonia",1.58
"34","Norway",3.982
"35","Poland",0.19625
"36","Portugal",0.814285714285714
"37","Republic of Moldova",4.338125
"38","Romania",7.46625
"39","Russian Federation",0.5525
"40","Serbia",1.75066666666667
"41","Slovakia",1.14714285714286
"42","Slovenia",NA
"43","Spain",0.154
"44","Sweden",1.22333333333333
"45","Switzerland",0.41375
"46","Tajikistan",0.274
"47","Turkmenistan",NA
"48","TÃ¼rkiye",0.222727272727273
"49","Ukraine",0.27
"50","United Kingdom",11.6861538461538
"51","Uzbekistan",0.507272727272727
