"Country","term","estimate","std.error","statistic","p.value","Significant"
"Austria","Year",-1.85568223458228e-05,0.000225955749260844,-0.0821259136203734,0.934546586635273,""
"Portugal","Year",4.12919636587961e-05,0.000528083240561464,0.0781921494325289,0.937675206744419,""
"Serbia","Year",-0.000124236076138623,0.000200859455071759,-0.618522419540763,0.536231023882832,""
"Slovakia","Year",0.000552446477559757,0.00013740744070286,4.02049899724432,5.80749965324101e-05,"*"
"Switzerland","Year",-3.52450295045603e-05,0.000305931757304342,-0.115205527582736,0.908282217474256,""
"Czechia","Year",-0.00121134048477539,0.00131366694752095,-0.922106236334364,0.356473164346565,""
"Denmark","Year",-2.42300278315258e-05,0.000324287553982975,-0.0747177236188286,0.940439305682581,""
"Finland","Year",-0.000682475395775316,0.00074848424357177,-0.911809970131823,0.361868761006324,""
"Germany","Year",-3.42170627294549e-05,0.00034357732074932,-0.0995905744151846,0.920669377148829,""
"Iceland","Year",7.55190968468104e-18,34.6165557172654,2.18158899064428e-19,1,""
"Italy","Year",-0.000200176285311638,0.000515891266575539,-0.388020302495908,0.698001009188237,""
"Lithuania","Year",-0.000304182343070582,0.000283234986749773,-1.07395751690562,0.282841722648127,""
"Netherlands (Kingdom of the)","Year",9.86646191175351e-05,0.000451101252721949,0.218719452721959,0.826868594770867,""
"Norway","Year",-7.15110305943106e-05,0.000590652407059279,-0.121071259068167,0.903634593626386,""
"Slovenia","Year",7.55190968468104e-18,34.6165557172654,2.18158899064428e-19,1,""
"France","Year",-0.000201871259970155,0.000422553639762352,-0.477741145677242,0.632834455115111,""
"Ireland","Year",0.00046234180908552,0.000667267073342142,0.692888691135002,0.488379407201239,""
"Kosovo under UNSCR 1244","Year",0.000197929467602426,0.000396087425600057,0.49971156570439,0.617278187523851,""
"Malta","Year",-9.65140566263595e-19,48.510383127686,-1.98955461498461e-20,1,""
"Croatia","Year",-0.000210106013611413,0.00068827884260188,-0.305262926312183,0.760165909675719,""
"Hungary","Year",-0.000235589880275611,0.000659833499418486,-0.357044436942406,0.721058539351709,""
"Latvia","Year",-7.48309713997602e-07,0.000401479636123093,-0.00186387962593493,0.998512840084349,""
"Poland","Year",4.0803607511502e-05,0.00077947409706975,0.0523476118897261,0.958251716493803,""
"Spain","Year",-0.000167392408214762,0.000867780008019288,-0.192897285795781,0.847039410736143,""
"TÃ¼rkiye","Year",-0.000326021262143904,0.000436196368608881,-0.74741856101107,0.454810944858899,""
"Montenegro","Year",-0.000727744486252556,0.000451684463912539,-1.61117891890449,0.107140731218302,""
