"","Country","Value","Year"
"1","TÃ¼rkiye",18,2014
"2","Republic of Moldova",15.1,2005
"3","Azerbaijan",11.5,2006
"4","Tajikistan",5.6,2017
"5","Kyrgyzstan",2.7,2012
"6","Ukraine",2.4,2007
"7","Armenia",0,2015
"8","Albania",NA,NA
"9","Austria",NA,NA
"10","Belarus",NA,NA
"11","Belgium",NA,NA
"12","Bosnia and Herzegovina",NA,NA
"13","Bulgaria",NA,NA
"14","Croatia",NA,NA
"15","Cyprus",NA,NA
"16","Czechia",NA,NA
"17","Denmark",NA,NA
"18","Estonia",NA,NA
"19","Finland",NA,NA
"20","France",NA,NA
"21","Georgia",NA,NA
"22","Germany",NA,NA
"23","Greece",NA,NA
"24","Holy See",NA,NA
"25","Hungary",NA,NA
"26","Iceland",NA,NA
"27","Ireland",NA,NA
"28","Italy",NA,NA
"29","Kazakhstan",NA,NA
"30","Latvia",NA,NA
"31","Liechtenstein",NA,NA
"32","Lithuania",NA,NA
"33","Luxembourg",NA,NA
"34","Malta",NA,NA
"35","Montenegro",NA,NA
"36","Netherlands (Kingdom of the)",NA,NA
"37","North Macedonia",NA,NA
"38","Norway",NA,NA
"39","Poland",NA,NA
"40","Portugal",NA,NA
"41","Romania",NA,NA
"42","Russian Federation",NA,NA
"43","Serbia",NA,NA
"44","Slovakia",NA,NA
"45","Slovenia",NA,NA
"46","Spain",NA,NA
"47","Sweden",NA,NA
"48","Switzerland",NA,NA
"49","Turkmenistan",NA,NA
"50","United Kingdom",NA,NA
"51","Uzbekistan",NA,NA
