"CountryName","UNICEFRegion","ISO3","ISO2"
"Finland","ECARO","FIN","FI"
"Netherlands (Kingdom of the)","ECARO","NLD","NL"
"Denmark","ECARO","DNK","DK"
"Switzerland","ECARO","CHE","CH"
"Austria","ECARO","AUT","AT"
"Bosnia and Herzegovina","ECARO","BIH","BA"
"Kyrgyzstan","ECARO","KGZ","KG"
"Armenia","ECARO","ARM","AM"
"Belarus","ECARO","BLR","BY"
"Tajikistan","ECARO","TJK","TJ"
"Ukraine","ECARO","UKR","UA"
"Germany","ECARO","DEU","DE"
"Kosovo",NA,"XKX","XK
"
"Uzbekistan","ECARO","UZB","UZ"
"Malta","ECARO","MLT","MT"
"Montenegro","ECARO","MNE","ME"
"Latvia","ECARO","LVA","LV"
"Spain","ECARO","ESP","ES"
"San Marino",NA,NA,NA
"Republic of Moldova","ECARO","MDA","MD"
"Romania","ECARO","ROU","RO"
"Poland","ECARO","POL","PL"
"Belgium","ECARO","BEL","BE"
"Cyprus","ECARO","CYP","CY"
"France","ECARO","FRA","FR"
"Holy See","ECARO","VAT","VA"
"Turkmenistan","ECARO","TKM","TM"
"Georgia","ECARO","GEO","GE"
"United Kingdom of Great Britain and Northern Ireland","ECARO","GBR","GB"
"Albania","ECARO","ALB","AL"
"Portugal","ECARO","PRT","PT"
"Luxembourg","ECARO","LUX","LU"
"Iceland","ECARO","ISL","IS"
"Azerbaijan","ECARO","AZE","AZ"
"Ireland","ECARO","IRL","IE"
"Slovenia","ECARO","SVN","SI"
"Lithuania","ECARO","LTU","LT"
"Slovakia","ECARO","SVK","SK"
"Serbia","ECARO","SRB","RS"
"Liechtenstein","ECARO","LIE","LI"
"Russian Federation","ECARO","RUS","RU"
"Estonia","ECARO","EST","EE"
"Italy","ECARO","ITA","IT"
"North Macedonia","ECARO","MKD","MK"
"Kazakhstan","ECARO","KAZ","KZ"
"Czechia","ECARO","CZE","CZ"
"Norway","ECARO","NOR","NO"
"Hungary","ECARO","HUN","HU"
"Bulgaria","ECARO","BGR","BG"
"Croatia","ECARO","HRV","HR"
"TÃ¼rkiye","ECARO","TUR","TR"
"Sweden","ECARO","SWE","SE"
"Greece","ECARO","GRC","GR"
